"photoUploadID","companyID","projectID","projectSiteID","projectSiteTaskID","pictureType","dateTaken","latitude","longitude","accuracy","uri","companyStaffID","thumbFlag","dateUploaded"
9,24,NULL,NULL,NULL,4,"2014-10-19 17:49:09",-25.7605505,27.8526339,NULL,"monitor_images/company24/companyStaff/t46.jpg",46,1,"2014-10-19 17:49:08"
10,24,NULL,NULL,NULL,4,"2014-10-19 17:49:09",-25.7605505,27.8526339,NULL,"monitor_images/company24/companyStaff/f46.jpg",46,NULL,"2014-10-19 17:49:09"
11,24,NULL,NULL,NULL,4,"2014-10-19 17:58:07",-25.7605505,27.8526353,NULL,"monitor_images/company24/companyStaff/t57.jpg",57,1,"2014-10-19 17:58:07"
12,24,NULL,NULL,NULL,4,"2014-10-19 17:58:07",-25.7605505,27.8526353,NULL,"monitor_images/company24/companyStaff/f57.jpg",57,NULL,"2014-10-19 17:58:07"
13,24,NULL,NULL,NULL,4,"2014-10-19 18:02:52",-25.7605457,27.8526318,NULL,"monitor_images/company24/companyStaff/t54.jpg",54,1,"2014-10-19 18:02:52"
14,24,NULL,NULL,NULL,4,"2014-10-19 18:02:52",-25.7605457,27.8526318,NULL,"monitor_images/company24/companyStaff/f54.jpg",54,NULL,"2014-10-19 18:02:52"
15,24,NULL,NULL,NULL,4,"2014-10-19 18:03:17",-25.7605494,27.8526359,NULL,"monitor_images/company24/companyStaff/t56.jpg",56,1,"2014-10-19 18:03:16"
16,24,NULL,NULL,NULL,4,"2014-10-19 18:03:17",-25.7605494,27.8526359,NULL,"monitor_images/company24/companyStaff/f56.jpg",56,NULL,"2014-10-19 18:03:17"
17,24,NULL,NULL,NULL,4,"2014-10-19 18:03:35",-25.7605494,27.8526359,NULL,"monitor_images/company24/companyStaff/t55.jpg",55,1,"2014-10-19 18:03:35"
18,24,NULL,NULL,NULL,4,"2014-10-19 18:03:35",-25.7605494,27.8526359,NULL,"monitor_images/company24/companyStaff/f55.jpg",55,NULL,"2014-10-19 18:03:35"
19,24,NULL,NULL,NULL,4,"2014-10-19 18:04:01",-25.7605505,27.8526339,NULL,"monitor_images/company24/companyStaff/t52.jpg",52,1,"2014-10-19 18:04:01"
